Rank,Name,Team,Cl,Games,Saves,GA,Goalie Min. Plyd,Pct.
1,Joao Mesquita,Oral Roberts,Sr.,8,37,6,720,.860
2,Eryk Dymora,Monmouth,Sr.,12,49,8,1080,.860
3,Ryan Jack,Kentucky,Jr.,5,18,3,450,.857
4,Edu Rodriguez,Rhode Island,Sr.,10,45,8,900,.849
5,Max Kerkvliet,UConn,So.,12,41,8,1080,.837
6,Mason Taylor,IU Indy,Sr.,10,49,10,810,.831
7,Sebastian Conlon,James Madison,Jr.,11,29,6,967,.829
-,Colby Hegarty,Northeastern,Sr.,8,29,6,720,.829
9,Ky Mani Dade,LMU (CA),Jr.,6,24,5,540,.828
10,Leon Schmidt,Grand Canyon,Sr.,12,52,11,1080,.825
11,Seth Wilson,UNC Greensboro,So.,10,33,7,900,.825
12,Aleksa Janjic,Marshall,Jr.,6,14,3,540,.824
13,Robert Gjelaj,SIUE,Sr.,12,54,12,1051,.818
-,Phillip Falcon III,Penn,So.,11,27,6,990,.818
-,Andrew Kempe,Temple,Sr.,6,27,6,540,.818
16,Alex Aitken,Houston Christian,Jr.,11,44,10,990,.815
17,Nicky McCune,Cal Poly,Jr.,13,35,8,1157,.814
18,Tenzing Manske,Georgetown,Jr.,10,26,6,900,.812
19,Charlie Farrar,UNC Asheville,Sr.,9,34,8,800,.810
-,Lou Liedtka,Vermont,Sr.,8,34,8,720,.810
21,Trevor McMullen,Mercer,Sr.,12,38,9,1080,.809
-,Ryan Eapen,William & Mary,So.,9,38,9,778,.809
23,Filip Sabatti,Memphis,Jr.,10,37,9,900,.804
24,Marten Brink,Marquette,Fr.,11,41,10,972,.804
25,Daniel Ibarra,Milwaukee,Sr.,11,45,11,989,.804
26,Drew Berry,Bradley,Jr.,8,28,7,646,.800
-,Soren Jensen,Seton Hall,Sr.,6,16,4,540,.800
28,Javier Ramirez,Central Ark.,Jr.,11,50,13,990,.794
29,Zoltan Nagy,Duquesne,Sr.,12,46,12,1035,.793
30,Colin Welsh,Western Mich.,Sr.,12,38,10,1080,.792
31,Josh Tubbs,Holy Cross,Sr.,8,34,9,720,.791
32,Hugo Do Rego,California Baptist,So.,11,56,15,990,.789
33,Nic Lemen,Northern Ky.,Jr.,11,33,9,990,.786
-,Leo Stritter,Charlotte,Jr.,11,22,6,990,.786
-,Cooper Wenzel,Virginia Tech,Jr.,11,33,9,990,.786
36,Stockton Short,Utah Tech,Jr.,12,80,22,1080,.784
-,Michael Statham,Old Dominion,Jr.,11,40,11,990,.784
38,Freddie Lapworth,Bucknell,Jr.,12,47,13,1080,.783
-,Josh Hangi,Georgia St.,Sr.,11,47,13,945,.783
40,Marc Kouadio,ETSU,Sr.,11,54,15,952,.783
41,JR Gawel,UMass Lowell,Jr.,11,49,14,990,.778
-,Nic Diana,Purdue Fort Wayne,Jr.,9,21,6,720,.778
43,David Mitzner,UC Santa Barbara,Sr.,13,31,9,1170,.775
-,Joey Batrouni,Virginia,Sr.,12,31,9,1069,.775
-,Ryan Friedberg,Cornell,Jr.,11,31,9,990,.775
-,Bennet Glinder,Siena,So.,11,31,9,987,.775
-,Adam Salama,Rider,Jr.,11,31,9,983,.775
48,Tomas Wroblewski,Elon,Sr.,12,44,13,1080,.772
49,Brendan Graves,Bowling Green,Sr.,13,47,14,1170,.770
-,Nigel Van Haveren,FIU,So.,11,47,14,990,.770
51,Pierce Holbrook,Navy,Sr.,12,53,16,1080,.768
52,Peter Van Euwen,Bellarmine,Sr.,8,26,8,708,.765
-,Matias Molina,Seton Hall,Jr.,6,13,4,540,.765
54,Griffin Huff,Lafayette,Sr.,9,29,9,810,.763
55,Laurin Mack,Maryland,Fr.,11,32,10,945,.762
56,Emigdio Lopez,UMBC,Jr.,13,60,19,1170,.759
57,Marco Brougher,California,Jr.,11,41,13,949,.759
58,Zac Kelly,Michigan St.,Sr.,12,37,12,1060,.755
59,Nathanael Sallah,Omaha,Sr.,11,40,13,990,.755
-,Alex Flowers,Oakland,Sr.,10,40,13,900,.755
61,Matthew Tibbetts,American,Jr.,12,49,16,1080,.754
62,Mac Learned,Sacramento St.,Sr.,13,64,21,1125,.753
63,Chema Preciado,Gonzaga,So.,13,54,18,1170,.750
-,Trace Alphin,Wake Forest,Sr.,13,36,12,1162,.750
-,Jonathan Munteanu,UAB,So.,11,42,14,990,.750
-,Carter Abbott,Fordham,Sr.,10,36,12,882,.750
-,Karl Netzell,Quinnipiac,Jr.,10,30,10,843,.750
-,Cabral Carter,Pittsburgh,Jr.,7,15,5,630,.750
-,Sam Joseph,UCLA,Jr.,6,21,7,540,.750
-,Enzo Carvalho,NC State,Sr.,6,18,6,512,.750
71,Joshua Moya,Pacific,Sr.,11,47,16,990,.746
72,Owen Moore,Liberty,Jr.,11,41,14,973,.745
73,Erik Lauta,New Hampshire,Jr.,11,32,11,990,.744
-,Filip Versterre,South Carolina,Fr.,11,32,11,990,.744
75,Samy Slimi,Campbell,So.,10,26,9,900,.743
76,Jeremi Abonnel,Saint Louis,Sr.,12,23,8,1080,.742
-,Niclas Becker,Saint Francis,So.,6,23,8,540,.742
78,Brennan Klein,Boston College,Sr.,12,40,14,1080,.741
79,Pedro Alves,Saint Peter's,Sr.,10,57,20,855,.740
80,Olly Marshall,Col. of Charleston,Jr.,13,54,19,1164,.740
81,Jamie Barry,Niagara,Jr.,11,79,28,990,.738
82,Nate Martinez,Ga. Southern,Jr.,10,31,11,900,.738
-,Flannan Riley,Temple,Sr.,6,31,11,540,.738
84,Felix Schaefer,South Fla.,Sr.,11,45,16,990,.738
85,Tomas Hut,Syracuse,Sr.,13,36,13,1125,.735
-,Zenden Hart,CSU Bakersfield,Jr.,11,36,13,962,.735
87,Antreas Hadjigavriel,Bryant,Sr.,11,22,8,915,.733
-,Nicolò Radaelli,Stetson,Jr.,10,33,12,898,.733
-,Martin Dominguez,SMU,Jr.,7,22,8,630,.733
-,Harvey Sellers,Louisville,So.,7,22,8,627,.733
-,Lucian Wood,Harvard,Jr.,6,22,8,540,.733
92,Eoin Gawronski,LIU,Sr.,12,41,15,1080,.732
-,Devin Armstrong,NJIT,Jr.,11,41,15,888,.732
94,Lukas Burns,Providence,Sr.,13,38,14,1152,.731
-,Christian Sekanina,Jacksonville,Jr.,12,38,14,1080,.731
96,Henrik Weiper,Brown,Jr.,9,35,13,801,.729
97,Dylan McDermott,Binghamton,Sr.,14,56,21,1260,.727
-,Jonny Mennell,Xavier,Jr.,13,32,12,1170,.727
-,Jack Stoecker,Santa Clara,Sr.,9,24,9,810,.727
-,Will Lowry,Missouri St.,Sr.,7,8,3,571,.727
101,Michal Mroz,Evansville,Fr.,12,45,17,1080,.726
102,Leo Ledin,Wofford,Fr.,9,21,8,810,.724
103,Costi Christodoulou,Dartmouth,Sr.,10,39,15,900,.722
-,Fernando Carreon,UTRGV,So.,7,26,10,566,.722
105,Zack Murphy,VMI,Jr.,11,56,22,976,.718
-,Kash Oladapo,Portland,Sr.,8,28,11,720,.718
107,Hugo Lemos,UNLV,So.,11,48,19,945,.716
108,Nolan Premack,UC San Diego,Sr.,13,55,22,1170,.714
-,Carlos Gonzalez,UC Riverside,Sr.,11,40,16,990,.714
-,Nacho Alfaro,Fla. Atlantic,Jr.,10,30,12,865,.714
111,Ciaran Dalton,Rutgers,Jr.,13,52,21,1170,.712
112,Oliver Weng,FGCU,Fr.,8,32,13,714,.711
113,Filippo Dadone,Hofstra,Sr.,13,34,14,1170,.708
114,Tomas Butkovic,Drake,Fr.,12,31,13,1080,.705
115,Rushon Sandy,Stony Brook,Jr.,12,50,21,1080,.704
116,Mitch Budler,Akron,Jr.,13,38,16,1170,.704
-,Alvaro Rodriguez,Green Bay,Sr.,10,38,16,900,.704
118,Alejandro DeLaTorre,UIW,Sr.,11,33,14,989,.702
119,Spencer King,FDU,Sr.,12,40,17,1080,.702
120,Santiago Davila,DePaul,Sr.,12,49,21,1080,.700
-,Viktor Engh,UNCW,Fr.,9,35,15,720,.700
122,Chris Edwards,Yale,Sr.,10,37,16,900,.698
123,Ludvig Malberg,Manhattan,Jr.,10,30,13,900,.698
124,JT Harms,Indiana,Sr.,13,39,17,1170,.696
125,Dario Caetano,Dayton,Sr.,10,32,14,900,.696
-,Josh Caron,High Point,Jr.,6,16,7,526,.696
127,Julian Marcos,Mount St. Mary's,Jr.,11,41,18,990,.695
128,Josh Lane,Robert Morris,So.,12,34,15,1056,.694
-,Loan Marin,Presbyterian,Jr.,9,34,15,756,.694
130,Nicolas Pucci,St. Bonaventure,Jr.,12,45,20,1080,.692
-,Jaume Salvado,George Mason,Sr.,10,18,8,827,.692
-,Jack Kilstrom,Winthrop,So.,8,27,12,615,.692
