Rank,Name,Team,Cl,Games,Saves,GA,Goalie Min. Plyd,Pct.
1,Niklas Herceg,Vermont,Sr.,16,63,11,1481,.851
2,Max Trejo,Ohio St.,Jr.,13,37,7,1181,.841
3,Robert Gjelaj,SIUE,Sr.,19,83,16,1695,.838
4,Nicky McCune,Cal Poly,Jr.,19,60,12,1717,.833
-,Eryk Dymora,Monmouth,Sr.,16,60,12,1460,.833
6,Joao Mesquita,Oral Roberts,Sr.,14,57,12,1184,.826
7,Alex Aitken,Houston Christian,Jr.,18,70,15,1633,.824
8,Max Kerkvliet,UConn,So.,18,57,13,1620,.814
9,Edu Rodriguez,Rhode Island,Sr.,13,64,15,1170,.810
10,Zoltan Nagy,Duquesne,Sr.,17,72,17,1485,.809
11,Erik Lauta,New Hampshire,Jr.,17,55,13,1539,.809
12,Adam Salama,Rider,Jr.,19,50,12,1718,.806
13,Valentin Kneis,La Salle,Jr.,10,33,8,841,.805
14,Alex Flowers,Oakland,Sr.,16,73,18,1440,.802
15,Daniel Ibarra,Milwaukee,Sr.,18,76,19,1610,.800
-,Mason Taylor,IU Indy,Sr.,14,68,17,1125,.800
-,Josh Tubbs,Holy Cross,Sr.,9,40,10,810,.800
18,Colin Welsh,Western Mich.,Sr.,20,78,20,1817,.796
-,Seth Wilson,UNC Greensboro,So.,12,39,10,1100,.796
20,Andrew Samuels,Princeton,So.,10,35,9,889,.795
21,Sebastian Conlon,James Madison,Jr.,19,62,16,1687,.795
22,Hugo Do Rego,California Baptist,So.,18,92,24,1620,.793
-,Colby Hegarty,Northeastern,Sr.,12,46,12,1080,.793
24,Isaiah Goldson,Michigan,So.,16,67,18,1440,.788
25,Joshua Moya,Pacific,Sr.,16,78,21,1440,.788
26,Emigdio Lopez,UMBC,Jr.,19,85,23,1725,.787
27,Aleksa Janjic,Marshall,Jr.,16,44,12,1464,.786
28,Stockton Short,Utah Tech,Jr.,18,105,29,1620,.784
29,Marc Kouadio,ETSU,Sr.,17,82,23,1512,.781
30,Ky Mani Dade,LMU (CA),Jr.,9,32,9,810,.780
31,Donovan Parisian,San Diego,So.,16,39,11,1440,.780
32,Nigel Van Haveren,FIU,So.,16,63,18,1367,.778
33,Tenzing Manske,Georgetown,Jr.,17,41,12,1527,.774
34,Trevor McMullen,Mercer,Sr.,17,51,15,1530,.773
35,Antreas Hadjigavriel,Bryant,Sr.,19,44,13,1655,.772
36,Freddie Lapworth,Bucknell,Jr.,20,71,21,1820,.772
37,Phillip Falcon III,Penn,So.,19,54,16,1713,.771
-,Javier Ramirez,Central Ark.,Jr.,18,81,24,1640,.771
39,Lukas Burns,Providence,Sr.,22,74,22,1964,.771
40,Drew Berry,Bradley,Jr.,13,50,15,1081,.769
41,Leon Schmidt,Grand Canyon,Sr.,18,76,23,1620,.768
42,Brendan Graves,Bowling Green,Sr.,20,79,24,1808,.767
43,Pierce Holbrook,Navy,Sr.,16,75,23,1440,.765
44,Charlie Farrar,UNC Asheville,Sr.,15,45,14,1312,.763
45,Zac Kelly,Michigan St.,Sr.,17,57,18,1530,.760
46,Griffin Huff,Lafayette,Sr.,13,41,13,1170,.759
47,Matias Molina,Seton Hall,Jr.,10,25,8,900,.758
48,Fernando Carreon,UTRGV,So.,13,43,14,1048,.754
49,Filip Versterre,South Carolina,Fr.,17,57,19,1530,.750
50,Alex Geczy,Massachusetts,Sr.,22,68,23,1988,.747
51,Brennan Klein,Boston College,Sr.,16,53,18,1440,.746
52,Owen Moore,Liberty,Jr.,15,50,17,1333,.746
53,Kash Oladapo,Portland,Sr.,11,41,14,990,.745
-,Flannan Riley,Temple,Sr.,9,41,14,810,.745
55,Nic Diana,Purdue Fort Wayne,Jr.,13,32,11,1080,.744
56,Joey Batrouni,Virginia,Sr.,20,58,20,1609,.744
57,Dylan McDermott,Binghamton,Sr.,19,81,28,1710,.743
58,Dario Caetano,Dayton,Sr.,20,60,21,1800,.741
59,Jamie Barry,Niagara,Jr.,16,105,37,1440,.739
60,Bennet Glinder,Siena,So.,18,51,18,1617,.739
-,Jack Stoecker,Santa Clara,Sr.,11,34,12,990,.739
62,Michael Statham,Old Dominion,Jr.,17,65,23,1530,.739
63,Leo Ledin,Wofford,Fr.,17,48,17,1550,.738
-,Casper Mols,Kentucky,Jr.,11,48,17,990,.738
65,Josh Caron,High Point,Jr.,12,31,11,1066,.738
66,Hugo Lemos,UNLV,So.,16,59,21,1395,.738
67,Josh Hangi,Georgia St.,Sr.,14,56,20,1157,.737
68,Wyatt Nelson,UCLA,So.,13,39,14,1192,.736
69,Nathanael Sallah,Omaha,Sr.,14,50,18,1260,.735
-,Will Lowry,Missouri St.,Sr.,14,25,9,1201,.735
-,Ryan Eapen,William & Mary,So.,13,50,18,1093,.735
72,Jadon Bowton,Washington,Sr.,21,61,22,1930,.735
-,Marco Brougher,California,Jr.,18,61,22,1503,.735
74,Pedro Alves,Saint Peter's,Sr.,15,83,30,1305,.735
75,Alejandro DeLaTorre,UIW,Sr.,17,52,19,1529,.732
76,JR Gawel,UMass Lowell,Jr.,15,60,22,1350,.732
-,Samy Slimi,Campbell,So.,11,30,11,990,.732
78,Cooper Wenzel,Virginia Tech,Jr.,17,49,18,1514,.731
79,Marten Brink,Marquette,Fr.,15,54,20,1332,.730
80,Leo Stritter,Charlotte,Jr.,19,43,16,1731,.729
81,Mitch Budler,Akron,Jr.,21,51,19,1846,.729
82,Karl Netzell,Quinnipiac,Jr.,17,59,22,1473,.728
-,Jonathan Munteanu,UAB,So.,15,59,22,1350,.728
84,Filippo Dadone,Hofstra,Sr.,21,61,23,1885,.726
85,Carter Abbott,Fordham,Sr.,16,53,20,1389,.726
86,Henrik Weiper,Brown,Jr.,15,50,19,1345,.725
87,Alan Horrocks,Gardner-Webb,Jr.,19,55,21,1686,.724
88,Eoin Gawronski,LIU,Sr.,20,60,23,1750,.723
89,Michal Mroz,Evansville,Fr.,21,86,33,1915,.723
90,Chema Preciado,Gonzaga,So.,18,78,30,1615,.722
-,John Ermini,VCU,Sr.,17,52,20,1530,.722
